Dataset,Performance Metric,Increase
Diabetes,Accuracy,1.68
Diabetes,F1 score,4.15
Diabetes,ROC-AUC Score,2.74
Liver,Accuracy,1.52
Liver,F1 score,0.82
Liver,ROC-AUC Score,2.63
Hepatitis,Accuracy,2.10
Hepatitis,F1 score,16.54
Hepatitis,ROC-AUC Score,10.19
Abalone,Accuracy,1.20
Abalone,F1 score,1.48
Abalone,ROC-AUC Score,1.23
Water,Accuracy,2.07
Water,F1 score,3.15
Water,ROC-AUC Score,2.21
Fetal,Accuracy,0.43
Fetal,F1 score,1.07
Fetal,ROC-AUC Score,0.85
