Dataset,Performance Metric,Increase
Diabetes,Accuracy,1.71
Diabetes,F1 score,4.93
Diabetes,ROC-AUC Score,3.08
Liver,Accuracy,2.28
Liver,F1 score,1.63
Liver,ROC-AUC Score,3.92
Hepatitis,Accuracy,2.41
Hepatitis,F1 score,16.49
Hepatitis,ROC-AUC Score,10.19
Abalone,Accuracy,-0.07
Abalone,F1 score,-1.34
Abalone,ROC-AUC Score,-1.06
Water,Accuracy,1.1
Water,F1 score,1.65
Water,ROC-AUC Score,1.15
Fetal,Accuracy,1.12
Fetal,F1 score,3.09
Fetal,ROC-AUC Score,2.24
