Dataset,Performance Metric,Increase
Diabetes,Accuracy,0.74
Diabetes,F1 score,0.31
Diabetes,ROC-AUC Score,0.36
Liver,Accuracy,1.09
Liver,F1 score,0.70
Liver,ROC-AUC Score,1.43
Hepatitis,Accuracy,1.47
Hepatitis,F1 score,11.61
Hepatitis,ROC-AUC Score,7.01
Abalone,Accuracy,0.54
Abalone,F1 score,1.32
Abalone,ROC-AUC Score,0.65
Water,Accuracy,2.23
Water,F1 score,2.96
Water,ROC-AUC Score,2.84
Fetal,Accuracy,0.15
Fetal,F1 score,0.37
Fetal,ROC-AUC Score,0.38
